Golubtemplate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72
A28102_at,7.912889336,8.74819285,6.64385619,6.64385619,8.022367813,6.64385619,8.027905997,9.116343961,8.266786541,8.882643049,6.754887502,7.960001932,6.882643049,6.64385619,7.686500527,7.417852515,7.936637939,8.060695932,8.573647187,8.174925683,7.108524457,6.64385619,8.74819285,8.882643049,6.906890596,7.348728154,10.11113567,8.651051691,7.17990909,8.303780748,7.832890014,8.625708843,8.28077077,8.54303182,7.238404739,8.038918989,6.64385619,8.918863237,6.882643049,8.076815597,8.839203788,9.768184325,6.64385619,7.599912842,7.159871337,8.487840034,6.64385619,7.754887502,6.64385619,7.965784285,6.741466986,6.64385619,8.686500527,9.319672121,6.64385619,6.977279923,8.252665432,7.761551232,8.714245518,6.965784285,8.921840937,8.339850003,8.885696373,6.64385619,7.960001932,8.479780264,7.569855608,8.312882955,8.577428828,8.924812504,8.599912842,8.022367813
AB000115_at,7.971543554,7.033423002,7.108524457,10.16364968,7,8.353146825,6.942514505,7.21916852,7.77478706,9.192292814,6.988684687,7.74819285,7.442943496,7.266786541,6.658211483,10.47269084,8.968666793,6.64385619,7.033423002,7.383704292,6.64385619,6.64385619,6.95419631,7.515699838,7.977279923,7.033423002,9.746514321,7.577428828,6.64385619,6.714245518,6.727920455,8.383704292,7.876516947,8.558420713,8.13442632,7.965784285,8.483815777,6.882643049,7.622051819,6.64385619,7.392317423,8.209453366,7.62935662,6.820178962,7.357552005,7.531381461,6.794415866,7.366322214,7.442943496,7.209453366,7.515699838,7.622051819,7.813781191,11.09934781,7.577428828,6.64385619,7.622051819,8.17990909,10.60640521,6.781359714,7.475733431,7.6794801,8.413627929,6.64385619,8.357552005,6.64385619,7.741466986,6.686500527,7.900866808,7.787902559,8.661778098,10.35093918
AB000460_at,11.32923574,10.93884446,10.07948478,10.59618976,11.1176431,11.48532619,11.31514956,9.787902559,10.13955135,10.64745843,9.616548844,10.28655776,10.34429591,10.58965115,10.89935692,10.82416321,10.55554777,10.38046107,10.96072599,10.26678654,9.479780264,11.28540222,10.65910396,10.94982671,10.80009099,10.53235593,10.92703717,10.5526691,11.17741954,10.44811631,10.00842862,11.37503943,11.80170836,10.84862294,10.68562484,10.99647349,10.96361862,11.05528244,10.65105169,10.40301202,10.8008999,11.50729912,11.04780555,10.45943162,11.04780555,10.48984796,11.13955135,10.79116289,10.78953364,10.75822321,11.63117706,10.33091688,10.56414949,11.39981196,10.45635442,10.84549005,10.47573343,11.14847658,10.45532722,10.53040634,11.183015,11.23601419,10.67242534,10.94251451,10.99717948,10.83368075,11.08679969,9.930737338,10.78708632,10.92109709,10.5137276,11.4604559
AB000464_at,10.16867212,9.995767151,9.049848549,9.184875343,9.209453366,9.550746785,7.499845887,8.826548487,8.392317423,8.581200582,8.076815597,8.535275377,9.276124405,9.784634846,9.098032083,8.442943496,9.216745858,8.438791853,9.245552706,7.491853096,7.584962501,10.08746284,9.54689446,9.670656249,9.829722735,8.903881846,9.842350343,9.368506462,10.57080444,9.398743692,8.962896005,9.967226259,9.926295995,9.533329732,9.649256178,9.562242424,11.29576893,10.54012804,8.330916878,9.550746785,8.675957033,10.06877828,10.54592977,7.942514505,9.463524373,9.296916207,9.912889336,9.379378367,9.098032083,9.383704292,10.13955135,9.712527,9.656424863,10.29691621,7.707359132,9.54689446,9.816983623,10.23720996,8.909893084,9.642051693,10.13570929,9.667111542,9.353146825,9.189824559,9.759888183,8.129283017,9.642051693,8.566054038,9.719388821,9.965784285,10.36632221,10.18858885
AB000468_at,6.64385619,6.64385619,8.087462841,9.586839788,10.78626963,6.64385619,9.583082768,7.948367232,9.008428622,8.011227255,6.64385619,6.64385619,9.052568051,9.871905238,9.361943774,9.417852515,10.82177398,8.294620749,7.900866808,8.388017285,7.882643049,11.28944258,6.64385619,8.554588852,8.622051819,7.584962501,6.64385619,8.204571144,7.894817763,8.060695932,9.627533884,9.167418146,7.977279923,8.379378367,8.562242424,7.960001932,8.499845887,8.055282436,9.113742166,6.781359714,8.285402219,7.894817763,9.807354922,7.839203788,11.2485206,6.64385619,9.871905238,9.48984796,10.33203655,8.479780264,8.939579214,9.475733431,9.11113567,9.743151394,9.753216749,10.18735207,7.965784285,9.177419538,6.64385619,8.118941073,6.64385619,6.64385619,6.64385619,9.159871337,8.076815597,9.082149041,8.768184325,9.016808288,6.64385619,6.794415866,6.930737338,8.554588852
AB001106_at,6.794415866,7.832890014,8.027905997,7.491853096,9.753216749,8.055282436,8.011227255,7.50779464,8.252665432,7.577428828,6.918863237,6.64385619,8.592457037,9.792790294,8.361943774,9.233619677,8.894817763,7.672425342,7.400879436,7.942514505,8.30833903,9.847057346,7.924812504,8.400879436,7.714245518,7.700439718,6.64385619,8,8.909893084,8.005624549,8.430452552,8.535275377,8.95419631,7.339850003,8.471675214,8.751544059,9.236014192,7.994353437,9.152284842,7.087462841,8.139551352,8.204571144,8.813781191,8.64385619,8.927777962,7.826548487,9.579315938,7.994353437,8.159871337,8.876516947,7.994353437,7.50779464,8.46760555,9.702172685,9.556506055,8.184875343,8.50779464,8.321928095,7.400879436,7.400879436,8.271463028,8.098032083,9.28771238,7.658211483,7.960001932,8.758223215,8.124121312,7.768184325,8.527477006,8.392317423,8.214319121,9.197216693
AB001325_at,9.988684687,9.025139562,9.440869168,9.736401931,9.768184325,10.84470576,8.891783703,9.810571635,9.48984796,9.609178738,8.991521846,8.807354922,8.994353437,9.573647187,8.903881846,9.385862401,9.54689446,9.353146825,10.01122726,9.355351096,8.539158811,10.24792751,10.08214904,10.22400167,9.388017285,9.082149041,10.47573343,9.558420713,10.53527538,9.398743692,9.247927513,10.38046107,10.67683861,9.390168956,10.16616308,9.878050913,10.90989308,10.07414146,8.968666793,10.42416629,10.40620501,10.78135971,10.88950396,9.62935662,9.978710459,9.346513733,9.86727874,10.10328781,8.487840034,9.693486957,9.636624621,9.240791332,9.894817763,9.845490051,8.971543554,9.661778098,9.656424863,9.702172685,9.726218159,9.335390355,10.60825482,9.95419631,10.21310422,9.899356923,10.03891899,10.38370429,10.07815081,8.714245518,8.632995197,9.970105891,10.31967212,10.94251451
AB002318_at,10.26795708,8.994353437,10.1176431,9.647458426,10.68999797,11.20212382,8.6794801,9.20701432,9.189824559,8.487840034,9.47370575,9.525520809,9.749869427,10.1711768,10.23840474,10.08878824,9.008428622,9.693486957,9.756556323,8.787902559,8.290018847,10.30833903,9.6794801,9.77807713,9.768184325,9.632995197,10.28886607,8.335390355,10.6411486,9.897845456,8.971543554,10.25620869,9.513727596,8.839203788,10.08214904,10.2467406,10.32305476,10.36194377,8.209453366,9.71596199,10.02375435,10.2911707,10.4252159,9.918863237,10.61378946,8.948367232,9.56414949,9.951284715,9.301496195,9.914385132,10.36522885,8.761551232,9.509775004,11,9.710806434,9.189824559,8.77478706,10.37395266,9.243173983,9.625708843,10.88493365,10.42626475,9.449148645,10.48381578,9.544964433,10.04028972,10.666224,6.64385619,9.995767151,9.984418459,10.03066714,10.39016896
AB002382_at,9.583082768,9.238404739,7.459431619,8.434628228,9.187352073,9.461479447,8.654636029,7.139551352,6.64385619,7.531381461,8.527477006,7.312882955,7.159871337,8.027905997,8.335390355,8.948367232,6.845490051,8.888743249,9.182394353,7.426264755,7.971543554,10.46147945,8.326429487,7.577428828,8.918863237,8.413627929,9.14974712,7.139551352,8.909893084,7.483815777,8.108524457,10.20823436,9.700439718,9.339850003,9.11113567,7.74819285,8.845490051,9,9.005624549,9.008428622,8.438791853,10.00982862,8.614709844,8.22881869,9.103287808,8.396604781,9.129283017,8.836050355,9.074141463,7.971543554,9.063395081,8.511752654,8.038918989,9.961449694,8.113742166,9.681238412,7.475733431,9.818582177,8.74819285,8.451211112,8.693486957,9.611024797,9.047123912,9.375039431,9.204571144,10.00702727,9.483815777,7.483815777,6.930737338,8.562242424,7.17990909,9.733015322
AB002559_at,10.24555271,10.0768156,10.04028972,9.396604781,9.46760555,10.29920802,10.03754695,10.77066389,10.36632221,9.511752654,9.688250309,10.06608919,9.596189756,9.430452552,10.12799432,9.758223215,9.139551352,9.903881846,10.42731284,10.40620501,9.743151394,10.87036472,10.63753055,10.95201316,11.38154295,10.13955135,11.81418188,11.0721326,10.64655871,9.586839788,9.802516365,11.29519496,11.50332886,11.06810648,9.567956075,10.69348696,10.14210706,10.05256805,9.682994584,9.994353437,10.06069593,10.50680344,10.10197567,10.18487534,9.370687407,9.556506055,9.50779464,9.842350343,9.881113961,9.330916878,11.4003458,9.839203788,9.403012024,10.28886607,7.108524457,10.60455323,9.550746785,9.668884984,9.381542951,9.266786541,10.21310422,10.81458247,10,11.59058705,10.94690627,10.08214904,10.09011242,9.826548487,11.27262978,10.67507492,10.63571812,10.36959735
AB003102_at,8.84862294,9.068778278,9.761551232,8.754887502,10.30263892,9.550746785,9.2644426,9.09011242,7.977279923,8.77807713,8.447083226,7.366322214,8.851749041,9.30833903,9.820178962,9.577428828,9.273795599,8.647458426,8.962896005,8.071462363,7.139551352,10.61746747,9.445014846,9.392317423,8.86727874,8.6794801,8.744833837,8.169925001,9.038918989,8.682994584,9.46760555,9.396604781,9.652844973,9,9.105908509,9.529430554,9.789533645,9.353146825,9.562242424,9.586839788,8.86727874,9.987264012,9.717676423,8.77807713,10.41785251,8.247927513,9.782998209,9.459431619,9.853309555,8.906890596,10.17990909,9.187352073,8.442943496,10.27146303,8.348728154,9.079484784,9.049848549,9.627533884,8.599912842,8.515699838,9.292321633,9.445014846,8.539158811,9.654636029,10.16113188,9.271463028,9.194756854,8.86727874,9.417852515,9.550746785,9.22881869,9.535275377
AB003177_at,8.28077077,10.01820018,9.792790294,8.417852515,9.992938336,9.550746785,9.548821908,9.571752644,8.882643049,9.729620744,8.290018847,8.495855027,9.247927513,9.501837185,10.20457114,10.1959873,8.854868383,8.495855027,9.233619677,7.768184325,8.957102042,9.663558104,8.658211483,9.189824559,9.927777962,8.535275377,8.312882955,7.864186145,9.700439718,8.807354922,9.519636253,9.625708843,10.01122726,9.238404739,9.199672345,9.609178738,10.027906,9.348728154,9.964340868,9.169925001,9.577428828,9.262094845,10.36741475,8.945443836,10.18982456,7.614709844,9.315149562,9.50779464,9.250298418,9.337621902,9.252665432,8.417852515,8.118941073,10.33985,8.787902559,8.965784285,8.686500527,10.02652344,8.511752654,9.236014192,9.746514321,9.294620749,9.315149562,9.605479518,9.914385132,9.224001674,9.01402047,9.310612782,9.743151394,9.131856961,8.209453366,9.625708843
AB004884_at,8.948367232,9.192292814,9.754887502,9.558420713,10.6926155,10.00562455,9.296916207,9.152284842,8.471675214,9.861086906,9.21916852,9.269126679,9.157346935,9.068778278,9.824958741,10.14720492,9.837627933,8.62935662,9.008428622,8.599912842,8.159871337,10.01262454,9.675957033,9.337621902,8.625708843,8.422064766,8.816983623,8.550746785,9.548821908,8.503825738,8.804131021,10.37612539,10.44914865,9.216745858,10.13955135,9.882643049,9.992938336,9.820178962,10.01820018,9.044394119,9.900866808,9.581200582,10.04712391,9.821773982,10.10852446,8.710806434,10.41362793,9.924812504,9.733015322,8.921840937,10.44708323,9.25502857,9.164906927,10.87805091,8.891783703,10.16113188,9.209453366,9.449148645,9.627533884,9.614709844,10.34096276,10.09539702,8.724513853,10.28193003,9.896332404,9.909893084,10.22641219,8.939579214,9.992938336,9.335390355,9.612868497,10.04302728
AB006190_at,8.885696373,9.746514321,9.036173613,9.082149041,9.73470962,9.888743249,8.721099189,9.59058705,8.442943496,8.933690655,8.622051819,8.495855027,9.209453366,9.194756854,9.01402047,9.285402219,9.204571144,8.888743249,9.50779464,8.710806434,8.804131021,9.971543554,9.25502857,9.142107057,9.493855449,9.103287808,9.54689446,8.924812504,9.994353437,8.503825738,8.326429487,9.782998209,10.60547952,9.477758266,9.843921051,9.567956075,9.992938336,9.262094845,9.4325419,8.6794801,9.361943774,10.08746284,9.465566405,8.73809226,9.240791332,8.980139578,9.453270634,9.301496195,8.588714636,9.033423002,9.642051693,9.328674927,9.187352073,9.868822555,8.463524373,9.357552005,9.011227255,9.566054038,9.098032083,9.121533517,9.847057346,9.73470962,9.605479518,9.368506462,9.20701432,9.20701432,9.571752644,8.326429487,9.719388821,9.157346935,9.315149562,9.707359132
AC000061_cds2_at,6.64385619,9.74819285,7.761551232,7.876516947,7.21916852,9.68474862,7.599912842,7.948367232,7.820178962,7.754887502,7.622051819,8.055282436,6.807354922,9.049848549,6.965784285,8.511752654,6.64385619,8.515699838,7.665335917,7.820178962,6.64385619,8.303780748,7.592457037,8.335390355,7.108524457,8.17990909,7.912889336,8.430452552,9.324180547,6.64385619,7.562242424,8.426264755,9.044394119,6.700439718,8.640244936,7.77478706,9.344295908,9.571752644,8.038918989,8.027905997,9.939579214,7.930737338,7.930737338,8.038918989,7.894817763,8.438791853,6.64385619,8.209453366,7.64385619,8.483815777,8.73470962,7.900866808,8.6794801,8.204571144,6.64385619,8.647458426,7.924812504,9.197216693,7.813781191,8.262094845,9.784634846,8.344295908,7.820178962,8.741466986,6.64385619,8.668884984,8.413627929,6.64385619,8.84862294,6.64385619,8.224001674,9.419960178
AC000064_cds1_at,7.820178962,9.303780748,7.982993575,7.965784285,8.651051691,9.041659152,7.098032083,8.159871337,7.17990909,6.988684687,7.523561956,6.965784285,7.50779464,7.21916852,8.832890014,8.471675214,8.321928095,8.087462841,7.62935662,7.515699838,7.139551352,9.413627929,9.182394353,9.187352073,9.098032083,8.357552005,8.581200582,8.417852515,9.579315938,8.531381461,7.882643049,8.807354922,10.06069593,8.388017285,8.082149041,9.216745858,8.836050355,8.693486957,8.632995197,7.17990909,8.962896005,9.049848549,8.262094845,8.252665432,7.636624621,8.463524373,8.209453366,9.236014192,8.592457037,8.224001674,8.479780264,8.174925683,7.832890014,8.820178962,8.087462841,8.321928095,8.413627929,9.808964175,7.977279923,7.64385619,9.77148947,9.21916852,9.596189756,8.487840034,9.002815016,9.243173983,8.826548487,8.326429487,9.06608919,9.142107057,9.019590728,9.21916852
AC002115_cds1_at,11.59292416,11.20701432,11.07146236,11.56890615,12.033423,11.98049664,11.69392249,11.45378506,11.51175265,11.40620501,10.2911707,11.04302728,10.79522797,11.39178061,11.96506276,11.56367296,10.74651432,11.34207467,10.90914305,10.64475759,13.17804233,11.74651432,11.11113567,11.16176174,11.91139199,11.19844504,11.58214198,11.4918531,11.60269887,11.77725532,11.93921188,12.39981196,10.70303839,11.93663794,11.12670447,12.34374092,12.05765334,11.59011917,11.80130419,11.46760555,11.27496047,11.50432245,12.19629475,11.63979289,11.82217246,11.7300455,11.4046094,11.57695666,12.15860969,11.69130733,12.30349538,11.33594857,11.15987134,12.89822347,10.3553511,11.01052811,11.30947635,11.74819285,11.8273427,11.70303839,11.53138146,11.87881728,11.14784089,12.04712391,11.67727919,11.66489167,11.5512276,11.72792045,12.53673289,11.5112585,10.75988818,11.17990909
AC002115_cds3_at,9.960001932,8.84862294,8.982993575,9.21916852,9.428360173,9.689997971,8.939579214,9.057991723,9.321928095,8.682994584,8.86727874,9.174925683,8.997179481,8.97441459,8.836050355,9.057991723,8.562242424,8.968666793,9.445014846,8.422064766,8.487840034,9.881113961,9.654636029,9.50779464,9.719388821,9.098032083,9.677719642,9.06608919,9.310612782,8.21916852,8.724513853,9.710806434,9.627533884,8.794415866,9.509775004,9.057991723,9.906890596,9.398743692,8.731319031,9.422064766,9.829722735,9.605479518,9.731319031,9.601770788,9.505811554,9.194756854,9.116343961,8.77807713,8.888743249,9.50779464,9.645658432,8.658211483,9.044394119,8.791162889,8.784634846,9.339850003,9.73809226,9.731319031,9.041659152,8.77148947,9.787902559,9.62388149,9.599912842,9.975847968,9.862637358,9.839203788,9.782998209,8.569855608,8.584962501,9.744833837,8.607330314,9.836050355
AC002115_rna2_at,8.344295908,6.64385619,8.588714636,8.882643049,9.06608919,8.804131021,8.930737338,8.77148947,8.906890596,8.95419631,7.686500527,8.285402219,8.339850003,8.422064766,9.449148645,8.888743249,8.761551232,9.113742166,8.523561956,8.471675214,8.294620749,9.09011242,6.672425342,8.857980995,8.900866808,8.885696373,9.174925683,7.936637939,8.622051819,7.348728154,8.74819285,9.37286506,6.64385619,8.832890014,8.499845887,8.596189756,9.335390355,8.199672345,9.17990909,8.74819285,8.262094845,8.13442632,9.370687407,8.348728154,8.703903573,8.463524373,9.350939182,8.787902559,9.262094845,8.77807713,8.700439718,8.54689446,7.761551232,9.965784285,7,7.686500527,7.383704292,9.62388149,8.985841937,8.511752654,6.64385619,7.8008999,6.64385619,9.440869168,9.37286506,7.936637939,9.405141463,9.226412193,8.909893084,8.882643049,9.577428828,8.77478706
AC002486_at,7.741466986,7.924812504,7.011227255,7.392317423,7.022367813,8.262094845,6.64385619,7.888743249,7.741466986,7.794415866,6.918863237,6.64385619,6.658211483,7.238404739,6.64385619,7.451211112,7.238404739,6.988684687,8.144658243,6.64385619,6.64385619,8.388017285,6.781359714,7.409390936,8.113742166,7.294620749,6.942514505,7.022367813,7.768184325,6.882643049,6.64385619,7.54689446,8.413627929,7.011227255,8.379378367,7,8.459431619,6.768184325,7.238404739,7.700439718,7.339850003,7.21916852,8.271463028,6.64385619,7.459431619,7.562242424,6.672425342,7.569855608,6.64385619,6.794415866,6.64385619,7.459431619,6.64385619,6.64385619,6.741466986,7.651051691,7.888743249,7.851749041,7.076815597,7.400879436,7.851749041,7.665335917,8.17990909,8.379378367,7.139551352,7.483815777,7,6.977279923,7.807354922,7.77478706,6.64385619,7.95419631
