Genes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
Hsa.6080,11.54484053,12.03401782,10.20112258,11.74489384,13.06849583,13.06849583,12.20955035,11.74489384,12.83988119,12.44432599,11.9366507,11.61942862,12.44432599,11.86162025,12.54138788,12.15132062,12.20955035,12.83988119,12.44432599,13.06849583,11.9366507,11.67486278,13.06849583,12.83988119,12.34361427,12.03401782,11.9366507,11.71348498,11.41062428,11.89052177,11.48011655,12.83988119,12.54138788,12.26332742,11.9366507,12.83988119,11.74489384,12.83988119,12.34361427,11.89052177,12.15132062,12.65703872,12.15132062,12.65703872,11.56843571,12.65703872,12.83988119,11.97838427,11.67486278,11.45214598,12.26332742,12.65703872,12.65703872,12.15132062,12.11268621,12.65703872,11.3633593,11.52325043,11.86162025,12.03401782,12.15132062,12.15132062
Hsa.3002,12.44432599,11.97838427,11.71348498,11.89052177,11.41062428,10.83618846,12.11268621,10.67584737,11.67486278,10.66370916,12.54138788,12.26332742,11.3633593,11.56843571,11.49923365,11.82799396,12.44432599,11.48011655,12.11268621,11.13308813,11.56843571,11.41062428,10.88660755,11.38387506,11.64708896,12.07438309,12.03401782,11.9366507,11.9366507,12.44432599,11.34145471,12.11268621,11.97838427,11.08957051,11.67486278,11.1680032,11.77686565,11.3633593,11.02115226,12.54138788,11.49923365,11.07365614,11.86162025,12.44432599,11.77686565,12.54138788,11.59457594,10.97222513,12.03401782,11.61942862,12.07438309,11.82799396,11.97838427,10.43018679,11.08957051,10.79857266,11.10387059,11.97838427,11.67486278,11.61942862,11.9366507,11.77686565
Hsa.1119,12.15132062,12.07438309,11.77686565,12.11268621,11.52325043,11.22920307,11.42976375,10.92983537,13.06849583,11.61942862,9.873864535,11.97838427,11.67486278,11.14978768,11.48011655,11.9366507,10.87455307,11.3633593,11.41062428,10.90885648,12.44432599,11.82799396,10.84792936,11.3633593,11.3633593,12.83988119,11.97838427,12.07438309,12.34361427,10.7461311,12.15132062,11.00494963,10.7356637,12.07438309,12.83988119,11.08957051,11.64708896,11.21353984,11.42976375,11.34145471,12.44432599,11.21353984,11.05625705,10.32452555,11.86162025,10.94505769,11.61942862,11.89052177,11.04101204,10.60864622,11.59457594,11.3633593,12.26332742,11.97838427,11.34145471,11.04101204,11.9366507,11.9366507,11.28240216,12.07438309,11.28240216,10.05968441
Hsa.44472,11.05625705,11.28240216,11.00494963,10.59684229,11.45214598,11.77686565,11.00494963,11.59457594,10.9205578,11.42976375,10.68987049,10.48088888,12.03401782,11.52325043,11.3248409,10.2351949,11.61942862,12.07438309,11.54484053,11.77686565,11.42976375,11.14978768,11.61942862,12.20955035,11.48011655,10.50361691,10.66370916,10.89912848,9.996889155,10.43814862,10.78710647,11.08957051,11.1207522,11.42976375,10.56539695,11.41062428,11.04101204,11.14978768,10.41931121,10.89912848,10.78710647,11.38387506,10.17819337,10.88660755,9.938999736,11.26296974,10.82183402,10.39133472,9.574248948,11.05625705,10.98638845,11.38387506,11.59457594,11.04101204,10.65383856,10.68987049,10.97222513,11.1207522,11.30076954,9.803089775,10.21046004,10.57696154
Hsa.4689,12.03401782,11.34145471,11.42976375,11.56843571,12.44432599,11.64708896,12.07438309,11.00494963,12.11268621,10.64331159,12.34361427,11.30076954,12.54138788,11.9366507,13.06849583,12.54138788,12.54138788,11.04101204,12.65703872,11.45214598,11.67486278,10.92983537,12.54138788,11.3248409,12.65703872,11.82799396,11.74489384,12.44432599,11.74489384,12.07438309,11.9366507,12.44432599,12.65703872,12.11268621,12.26332742,13.06849583,11.97838427,13.06849583,11.45214598,12.65703872,12.20955035,11.49923365,11.48011655,12.20955035,11.52325043,12.83988119,12.15132062,10.80830408,11.24603756,12.15132062,12.54138788,13.06849583,12.34361427,12.20955035,12.20955035,11.3633593,11.77686565,12.03401782,12.83988119,11.08957051,11.82799396,11.9366507
Hsa.45293,10.15649252,9.803089775,10.65383856,10.11500294,11.21353984,11.1680032,10.31740058,10.89912848,9.938999736,10.7356637,10.43018679,10.17083973,10.79857266,10.48088888,10.77084103,9.94446766,10.79857266,11.3248409,11.18382795,11.22920307,9.906949252,9.671824379,10.92983537,11.64708896,10.9205578,9.996889155,9.708527967,10.41931121,9.197576985,9.819591448,10.14344946,10.32452555,10.57696154,10.87455307,10.04899326,11.04101204,10.55617784,10.67584737,10.01639585,10.33248201,10.40958153,10.68987049,9.439292357,10.30575986,9.209238738,10.52482225,10.274157,9.462797437,9.629040452,10.10194857,9.858818496,10.51505582,10.7356637,10.29034127,10.29034127,10.21046004,10.21046004,10.51505582,10.61909998,9.319071146,9.873864535,9.912367614
Hsa.5710,10.58717668,10.40958153,10.37831251,10.53399641,11.34145471,11.54484053,11.13308813,11.49923365,11.54484053,11.26296974,11.49923365,11.1207522,11.45214598,10.94505769,11.3633593,10.95857482,11.59457594,11.21353984,11.56843571,11.61942862,10.89912848,10.15649252,11.38387506,11.30076954,11.18382795,10.98638845,10.68987049,11.1207522,10.60864622,11.10387059,11.04101204,11.52325043,12.03401782,11.48011655,11.07365614,12.26332742,10.51505582,12.15132062,11.14978768,11.3633593,11.34145471,11.74489384,11.30076954,11.64708896,11.26296974,12.03401782,11.82799396,11.28240216,10.87455307,11.3248409,10.79857266,11.97838427,11.21353984,11.34145471,12.03401782,12.34361427,11.74489384,11.14978768,11.61942862,11.07365614,11.41062428,11.74489384
Hsa.20836,11.45214598,11.45214598,10.43018679,10.39133472,11.22920307,10.7567274,11.41062428,10.80830408,9.209238738,11.45214598,10.53399641,10.7356637,11.28240216,11.34145471,10.87455307,12.11268621,11.14978768,10.29696948,9.906949252,10.66370916,11.71348498,11.3633593,11.41062428,11.26296974,11.21353984,11.59457594,11.71348498,11.59457594,11.82799396,11.82799396,11.41062428,10.95857482,11.86162025,11.24603756,11.1680032,10.60864622,11.56843571,11.1207522,11.59457594,11.67486278,10.52482225,9.834733283,11.08957051,10.50361691,11.89052177,10.31740058,11.00494963,9.996889155,11.48011655,11.52325043,11.52325043,10.68987049,11.05625705,10.40958153,10.12872777,10.82183402,10.57696154,11.82799396,12.20955035,11.14978768,11.05625705,11.54484053
Hsa.909,10.95857482,10.03698028,10.31740058,10.20112258,11.05625705,11.38387506,11.67486278,12.20955035,11.41062428,11.38387506,9.880658867,10.66370916,10.80830408,10.68987049,11.97838427,10.0299128,11.28240216,11.82799396,12.26332742,11.74489384,11.38387506,10.57696154,11.89052177,11.24603756,10.78710647,11.38387506,9.996889155,10.71246057,10.89912848,9.996889155,10.70126957,11.41062428,11.13308813,11.3633593,11.42976375,11.38387506,10.09420563,10.97222513,11.71348498,10.61909998,11.3248409,11.13308813,12.20955035,11.77686565,10.66370916,11.45214598,11.19828413,11.77686565,10.86317875,10.79857266,11.82799396,11.67486278,11.18382795,11.77686565,11.59457594,11.82799396,11.24603756,10.58717668,10.63090326,11.1207522,12.34361427,11.97838427
Hsa.878,10.98638845,10.24968733,10.07217302,10.89912848,11.71348498,11.1207522,11.61942862,10.43018679,11.74489384,10.9205578,11.86162025,10.95857482,11.42976375,11.13308813,11.56843571,11.67486278,11.82799396,11.13308813,12.15132062,11.21353984,10.57696154,10.16425877,12.34361427,11.19828413,11.82799396,11.30076954,11.13308813,11.74489384,10.7567274,11.52325043,10.86317875,11.42976375,12.11268621,11.1680032,11.08957051,12.11268621,11.34145471,12.54138788,10.7356637,11.64708896,11.00494963,10.29034127,11.07365614,12.15132062,10.48088888,11.9366507,12.44432599,9.819591448,10.11500294,10.87455307,11.97838427,12.03401782,11.56843571,10.90885648,10.41931121,10.98638845,10.78710647,11.38387506,12.07438309,10.05968441,11.49923365,10.94505769
Hsa.1648,10.97222513,11.56843571,10.55617784,11.82799396,10.7461311,10.84792936,10.71246057,10.05457369,11.38387506,11.07365614,9.206971403,11.07365614,10.63090326,11.10387059,11.18382795,10.83618846,10.51505582,11.38387506,11.10387059,10.61909998,11.48011655,11.42976375,10.68987049,11.14978768,10.68987049,10.97222513,10.79857266,10.66370916,11.00494963,10.2351949,11.13308813,10.04250777,10.03698028,10.20112258,11.3248409,9.462797437,10.61909998,9.925144507,11.56843571,10.97222513,11.21353984,11.04101204,10.98638845,9.796862044,11.22920307,10.07217302,10.0874021,11.42976375,10.98638845,10.72223615,10.64331159,10.11500294,11.13308813,11.26296974,10.43814862,10.95857482,11.02115226,11.28240216,10.10194857,11.41062428,10.10194857,10.9205578
Hsa.1836,11.86162025,11.89052177,11.86162025,12.20955035,10.88660755,10.21779377,11.86162025,10.56539695,12.26332742,10.40126887,10.10194857,11.89052177,11.9366507,11.59457594,11.52325043,13.06849583,11.38387506,10.68987049,11.52325043,9.629040452,11.74489384,11.28240216,10.51505582,11.1207522,11.42976375,12.44432599,12.15132062,12.15132062,12.03401782,11.21353984,11.71348498,10.10194857,10.86317875,11.59457594,11.61942862,11.42976375,11.45214598,11.19828413,11.13308813,11.54484053,12.07438309,10.32452555,10.78710647,11.21353984,11.71348498,10.92983537,10.87455307,11.45214598,11.07365614,11.74489384,12.15132062,11.86162025,12.20955035,11.82799396,10.89912848,11.1207522,12.03401782,12.20955035,11.97838427,11.67486278,11.19828413,11.52325043
Hsa.1273,11.61942862,11.52325043,11.64708896,11.9366507,10.86317875,10.61909998,11.24603756,11.13308813,11.48011655,10.58717668,8.014949142,10.53399641,11.22920307,11.19828413,10.95857482,10.97222513,10.4489732,11.22920307,11.21353984,10.45759105,10.19499112,11.45214598,10.15649252,11.00494963,10.88660755,11.52325043,11.61942862,11.52325043,11.42976375,11.18382795,11.14978768,9.59270056,9.957108362,11.22920307,11.02115226,10.40958153,11.28240216,10.34123042,11.1207522,10.71246057,11.14978768,10.80830408,10.31740058,10.0299128,10.72223615,10.08023944,10.53399641,11.30076954,10.43814862,10.59684229,11.21353984,10.55617784,10.88660755,11.30076954,10.53399641,10.70126957,11.21353984,10.83618846,10.7356637,11.24603756,10.78710647,10.77084103
Hsa.19249,10.28176237,10.61909998,10.71246057,10.22545294,11.28240216,10.9205578,10.53399641,10.39133472,8.711193463,11.24603756,10.37831251,10.04899326,11.18382795,10.65383856,10.01639585,9.687543878,11.19828413,11.52325043,10.36667861,11.02115226,10.88660755,11.34145471,11.13308813,12.07438309,10.61909998,10.51505582,10.7461311,10.88660755,10.59684229,10.60864622,10.274157,10.60864622,10.47031135,10.84792936,9.932365506,10.06630906,11.21353984,10.29696948,10.274157,10.20112258,10.04250777,10.43018679,8.496377685,9.037473447,9.087724169,9.538301597,9.653523236,10.20112258,10.07217302,10.25646248,10.50361691,9.950537319,10.33248201,8.967930906,10.00192298,9.140171321,10.08023944,10.53399641,10.54503826,9.014096532,9.94446766,9.691163781
Hsa.2948,11.97838427,11.30076954,11.22920307,11.34145471,9.873864535,10.1081467,11.38387506,9.98284411,11.14978768,9.846233717,11.56843571,11.56843571,10.17819337,10.95857482,10.80830408,11.54484053,12.07438309,11.41062428,10.51505582,10.11500294,11.45214598,11.08957051,10.90885648,10.92983537,10.94505769,11.49923365,11.59457594,11.10387059,11.67486278,11.61942862,11.08957051,11.34145471,11.45214598,10.4489732,11.49923365,10.65383856,10.98638845,10.89912848,10.70126957,11.74489384,10.53399641,10.59684229,11.45214598,12.07438309,11.1207522,11.3248409,10.14933268,10.30575986,11.54484053,11.21353984,11.61942862,11.48011655,11.30076954,9.412047004,10.7356637,9.858818496,10.34123042,11.77686565,11.71348498,11.10387059,11.30076954,11.30076954
