ID	CPG_ISLAND_LOCATIONS
cg00858899	11 69164197 69168027
cg00859193	13 28130927 28131704
cg00861635	16 3224615 3226267
cg00862041	X 101853568 101854882
cg00862290	3 180467337 180467703
cg00862770	6 35763617 35765001
cg00864867	12 78607434 78609459
cg00870662	18 76104934 76107137
cg00871453	8 124153730 124155870
cg00873037	8 11664043 11665457
cg00873937	10 69660761 69661688
cg00875272	1 47467815 47468163
cg00876704	19 14403590 14405780
cg00877887	15 43193633 43194285
cg00877964	2 65068903 65071318
cg00881086	3 133923089 133924661
cg00882832	4 124537223 124537517
cg00884221	4 57670424 57671769
cg00884529	7 16650660 16652965
cg00885506	9 115141737 115142680
cg00886554	4 56196371 56197553
cg00887101	11 62176945 62178473
cg00887547	12 117294551 117295541
cg00887700	12 122683911 122684959
cg00888007	12 4248289 4252642
cg00888479	20 19140330 19141909
cg00888561	13 51055909 51057404
cg00890257	14 99694413 99696319
cg00891278	3 127595793 127596808
cg00891541	16 67038237 67039167
cg00892798	17 44926776 44930438
cg00893242	7 127078181 127080079
cg00893636	3 37008972 37010459
cg00893987	6 42954351 42956553
cg00897329	6 108722472 108723166
cg00899086	4 78088274 78091542
cg00899641	2 198007436 198008570
cg00901493	17 7138064 7140888
cg00901652	11 10728510 10730106
cg00901683	7 98873753 98874950
cg00901704	17 70796714 70797633
cg00901766	19 6230410 6231519
cg00902195	12 33482438 33484467
cg00903242	3 213133 215306
cg00903375	7 66097427 66098269
cg00904483	10 131244704 131245359
cg00904574	1 45038006 45039475
cg00905170	8 67503171 67504750
cg00906183	17 77260485 77262275
cg00908551	11 22603124 22604113
cg00910067	19 38409242 38410188
cg00910168	12 124039310 124040298
cg00911351	5 140747256 140748040
cg00911873	7 18033727 18034161
cg00912191	5 171642475 171644347
cg00915206	2 171379577 171383944
cg00915289	1 153212752 153214268
cg00916199	5 139998882 139999854
cg00917893	3 58394103 58394937
cg00918794	15 62241889 62242829
cg00919857	15 49830408 49831846
cg00920960	X 122821066 122822021
cg00925229	11 63808588 63810248
cg00925717	16 23220598 23221543
cg00929606	7 99516510 99518408
cg00929855	6 31889749 31893365
cg00930078	1 222368316 222369404
cg00930873	15 56144403 56146241
cg00932276	X 13497407 13498297
cg00935364	11 384143 384690
cg00935430	1 225817899 225818422
cg00936626	3 198178938 198179402
cg00940278	18 17998755 18006541
cg00940891	4 992786 996549
cg00941229	1 148248645 148249635
cg00943909	20 56860981 56861502
cg00943950	5 133734484 133735850
cg00945507	7 54793833 54795259
cg00947019	7 44853650 44855311
cg00947275	X 64670844 64671725
cg00948524	17 26321421 26323571
cg00949442	16 2329513 2332346
cg00949554	2 181552915 181554363
cg00950418	7 104815356 104817256
cg00950621	15 79403180 79404162
cg00953256	11 69177944 69178494
cg00953277	17 72243751 72245944
cg00954003	2 84985393 84987514
cg00954566	10 102096020 102097861
cg00955230	7 73306222 73307363
cg00958517	16 69029963 69031227
cg00960702	19 52450285 52453018
cg00962635	X 99872942 99873874
cg00964109	15 72540312 72541122
cg00968475	X 101862184 101862707
cg00969446	7 959794 961282
cg00970325	3 144163706 144166078
cg00970385	13 43351060 43352453
cg00971396	3 185563205 185564171
cg00973334	12 48846871 48848962
cg00973677	7 136203835 136206886
cg00976054	17 70553656 70555426
cg00977690	X 24077026 24078859
cg00979348	4 84474503 84475567
cg00980978	20 43531570 43532140
cg00981643	X 153015146 153016905
cg00983520	22 49362955 49363937
cg00984602	6 43246300 43248449
cg00986320	5 156628075 156628275
cg00987379	8 28298716 28300368
cg00995152	9 123536075 123536593
cg00995327	3 144320056 144323848
cg00995520	1 111017242 111019922
cg00997424	10 99390079 99391466
cg01000094	11 18239883 18240212
cg01003992	15 82688907 82690094
cg01009664	3 131175550 131177582
cg01013324	17 7548663 7549622
cg01015879	11 109671590 109673132
cg01017147	1 170076556 170078344
cg01021485	15 62434648 62435668
cg01025762	7 107318597 107319263
cg01025842	16 65750903 65752820
cg01026744	4 89837262 89838235
cg01027739	9 130882471 130883721
cg01027805	14 20636087 20636812
cg01031251	1 26727978 26728184
cg01031400	8 23076422 23077641
cg01033160	19 38554952 38557513
cg01033938	11 129802238 129804224
cg01036012	10 84480 85489
cg01036148	1 200218109 200219319
cg01036173	9 5427409 5428134
cg01036779	19 6718910 6719312
cg01037108	5 137938552 137940556
cg01040062	17 3992394 3994372
cg01040759	2 85968579 85970310
cg01041367	8 75050629 75051563
cg01044662	2 75790971 75791958
cg01044722	17 8473448 8475817
cg01045423	1 92536676 92537563
cg01046174	2 208838805 208839779
cg01047414	10 13381224 13383704
cg01048931	7 55606607 55608412
cg01049530	4 82170730 82171988
cg01050433	15 39638141 39639277
cg01056155	5 72829680 72830523
cg01056568	17 9669900 9670178
cg01057962	3 188944023 188946443
cg01062029	9 93750567 93753002
cg01063524	17 46585597 46586505
cg01064307	1 205560685 205562246
cg01064957	5 122138317 122139249
cg01065920	12 93921365 93922160
cg01069256	8 79740385 79741588
cg01071811	20 41576494 41576980
cg01076838	19 60432437 60432654
cg01078276	10 75340574 75341453
cg01078871	14 38970162 38972091
cg01079126	X 149611916 149613219
cg01080862	X 117745133 117746396
cg01081263	11 9068950 9070210
cg01082679	12 47396161 47397563
cg01086868	X 66680392 66681347
cg01086895	11 6632917 6634478
cg01086978	8 68417525 68419141
cg01087382	6 91352433 91353967
cg01087710	16 65700630 65701821
cg01090445	3 49868650 49869342
cg01091448	5 34043408 34044378
cg01092561	8 9045325 9046927
cg01095590	1 173427932 173429089
cg01097940	12 6852447 6853283
cg01100784	16 1694979 1696970
cg01103836	19 17073434 17074430
cg01104423	7 6064761 6066140
cg01107031	19 46550263 46551871
cg01107741	17 74517067 74517856
cg01108476	6 35216605 35217470
cg01109219	2 33514078 33514283
cg01110846	16 29844365 29845728
cg01112452	X 117841453 117842815
cg01114088	4 5071781 5072185
cg01116966	5 133477085 133479284
cg01117627	14 99219344 99221023
cg01120165	22 49031226 49032446
cg01120898	3 191713954 191715294
cg01124961	8 28803201 28803732
cg01126560	9 139005737 139007119
cg01127428	12 100656150 100657800
cg01128603	11 65575618 65576978
cg01129459	14 59455669 59456908
cg01130192	9 32374087 32375039
cg01131735	17 37220757 37222511
cg01134491	1 11787877 11789059
cg01135200	6 147565261 147567679
cg01135626	X 72583622 72584434
cg01137065	17 78070105 78071937
cg01137198	12 109504300 109505817
cg01137532	10 63803620 63804453
cg01137708	4 103640972 103642752
cg01137737	16 19440256 19441036
cg01139059	2 122229301 122230202
cg01140782	X 152516732 152518527
cg01141769	21 16023648 16024979
cg01144286	20 9443099 9443680
cg01145389	1 51206201 51208376
cg01146980	5 34964965 34966310
cg01148741	2 96173982 96175216
cg01150454	2 95150196 95151810
cg01151686	17 30331330 30332433
cg01151699	22 35428915 35429838
cg01152019	2 176723073 176723586
cg01152499	1 117949333 117951379
cg01154193	1 32443039 32444569
cg01154537	10 95451797 95452738
cg01154775	4 20310736 20311530
cg01155039	14 102458656 102460098
cg01160766	17 69710949 69712234
cg01161216	16 88466609 88468601
cg01161597	8 120913892 120914398
cg01166674	7 150355920 150357342
cg01168201	17 1903345 1909315
cg01169624	7 94124850 94125060
cg01169726	7 96490825 96492388
cg01169778	9 135028088 135029263
cg01171588	4 144325056 144326689
cg01172484	X 55494868 55496223
cg01172656	10 64562762 64563417
cg01172735	1 28458253 28460012
cg01172972	1 52379905 52381167
cg01173186	6 24234185 24234658
cg01173291	15 82944519 82945827
cg01176271	15 62174911 62175920
cg01177524	6 11340603 11340999
cg01177956	7 150387173 150388574
cg01182585	7 23305201 23305941
cg01183669	1 112963033 112964402
cg01184449	2 42249648 42250470
cg01184522	1 245560686 245562977
cg01185080	15 88344274 88345300
cg01185754	1 94778962 94780728
cg01186777	19 6481661 6482655
cg01190915	16 55199448 55200458
cg01191395	17 7471274 7472044
cg01192900	11 110888181 110889264
cg01195014	X 51563227 51563428
cg01195053	16 2593086 2593971
cg01195127	2 32356313 32357059
cg01197831	9 96395689 96395929
cg01199721	12 119116445 119117345
cg01200060	20 605211 605426
cg01200177	2 128331459 128332964
cg01204271	17 7138064 7140888
cg01204439	7 144163180 144164790
cg01206472	22 37407569 37408539
cg01206970	19 54312898 54313129
cg01211097	16 83290355 83291669
cg01214209	1 38031221 38033033
cg01214321	8 26490154 26491537
cg01214847	21 42689075 42689432
cg01215061	X 89063584 89064219
cg01216369	3 174341533 174341882
cg01220033	9 130457129 130459377
cg01221484	19 63610863 63612475
